store_id,partition_date,sales_growth_pct,fuel_growth_pct,economic_trend_type,fuel_spike_bucket
38,2019-03-01,0.11374797878049776,0.0573451327433628,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
12,2019-03-01,0.027084336221578457,0.0573451327433628,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
28,2019-03-01,0.042966713735089604,0.0573451327433628,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
10,2019-03-08,-0.02302057678723575,0.05457073340285021,Pro-Cyclical (Vulnerable),5-10% (n=108 store-weeks)
42,2019-03-08,0.060167314260409464,0.05457073340285021,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
33,2019-03-08,0.07093372833150968,0.05457073340285021,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
10,2019-06-21,-0.037800696616649185,0.05076660988074958,Pro-Cyclical (Vulnerable),5-10% (n=108 store-weeks)
33,2019-06-21,-0.047647627884793195,0.05076660988074958,Pro-Cyclical (Vulnerable),5-10% (n=108 store-weeks)
10,2019-10-11,-0.03856362843488515,0.05335157318741455,Pro-Cyclical (Vulnerable),5-10% (n=108 store-weeks)
42,2019-10-11,-0.06748388874906427,0.05335157318741455,Pro-Cyclical (Vulnerable),5-10% (n=108 store-weeks)
33,2019-10-11,-0.055355141331273686,0.05335157318741455,Pro-Cyclical (Vulnerable),5-10% (n=108 store-weeks)
28,2019-12-06,0.012603076659908256,0.05327195001644194,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
38,2019-12-06,0.01147933755043966,0.05327195001644194,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
12,2019-12-06,0.04899425419409852,0.05327195001644194,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
34,2020-02-28,0.011097252692125182,0.07061872367994816,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
4,2020-02-28,0.01220399634436295,0.07061872367994816,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
11,2020-02-28,0.05699219522281331,0.07275693311582378,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
39,2020-02-28,0.060813080321402195,0.07275693311582378,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
2,2020-02-28,0.08077218709799122,0.07275693311582378,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
31,2020-02-28,0.03444659167223152,0.07275693311582378,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
3,2020-02-28,0.1003831739986983,0.07275693311582378,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
37,2020-02-28,0.024893358180469158,0.07275693311582378,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
1,2020-02-28,0.12318993376360408,0.07275693311582378,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
21,2020-02-28,0.03639641534510929,0.07275693311582378,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
5,2020-02-28,0.11665722639181826,0.07275693311582378,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
30,2020-02-28,0.024606045783986206,0.07275693311582378,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
9,2020-02-28,0.05634101411946673,0.07275693311582378,Counter-Cyclical (Resilient),5-10% (n=108 store-weeks)
