store_id,comeback_start_date,absolute_comeback_growth,pct_comeback_growth,label,ranked_by
14,2019-02-08,4366039.350000001,1.008861672329262,Comeback King,absolute
10,2019-02-08,3679566.4899999993,0.8421838897804613,Comeback King,absolute
20,2019-02-08,3679428.9000000004,0.8157468464545233,Comeback King,absolute
27,2019-02-08,2955194.93,0.8164305611756085,Comeback King,absolute
6,2019-02-08,2901142.4999999995,0.8902162145204123,Comeback King,absolute
23,2019-11-15,2781710.67,0.5542427445117158,Comeback King,absolute
28,2019-02-08,2737465.5300000003,0.8471661331005336,Comeback King,absolute
1,2019-02-08,2730395.6900000004,0.8310066712738955,Comeback King,absolute
13,2019-11-15,2474673.83,0.32526312552947084,Comeback King,absolute
20,2019-11-15,2430043.630000001,0.2903639819587886,Comeback King,absolute
14,2019-12-27,-3885034.33,-0.3595328650844588,Fail King,absolute
20,2019-12-27,-3867052.170000001,-0.3472025749222724,Fail King,absolute
10,2019-12-27,-3861354.170000001,-0.36155702734793393,Fail King,absolute
10,2020-12-25,-3700085.8899999997,-0.3556742296703257,Fail King,absolute
23,2019-12-27,-3681836.17,-0.4593687549285929,Fail King,absolute
13,2019-12-27,-3673609.170000001,-0.34972397464463345,Fail King,absolute
13,2020-12-25,-3542643.9899999993,-0.3295805092738227,Fail King,absolute
23,2020-12-25,-3449652.66,-0.4413445385285732,Fail King,absolute
14,2020-12-25,-3408293.4399999995,-0.3293621953701371,Fail King,absolute
20,2020-12-25,-3377551.429999999,-0.30965243612408483,Fail King,absolute
25,2019-02-08,1370551.64,1.0872254239493844,Comeback King,relative
45,2019-02-08,1579116.18,1.020313028261076,Comeback King,relative
14,2019-02-08,4366039.350000001,1.008861672329262,Comeback King,relative
38,2019-02-08,675013.4199999999,0.9633263663149932,Comeback King,relative
29,2019-02-08,1016639.6700000002,0.9516358872770528,Comeback King,relative
37,2019-02-08,990409.9200000002,0.92921251351128,Comeback King,relative
35,2019-02-08,2204836.23,0.9189004569800093,Comeback King,relative
41,2019-02-08,1969342.15,0.9108092199059404,Comeback King,relative
16,2019-02-08,853232.8799999999,0.8986567621347005,Comeback King,relative
18,2019-02-08,2144171.49,0.895947711091004,Comeback King,relative
15,2019-12-27,-1785695.9300000002,-0.47705171260632767,Fail King,relative
23,2019-12-27,-3681836.17,-0.4593687549285929,Fail King,relative
29,2019-12-27,-1422873.2400000002,-0.45009234516092445,Fail King,relative
35,2019-12-27,-2148983.8,-0.4496594612627255,Fail King,relative
23,2020-12-25,-3449652.66,-0.4413445385285732,Fail King,relative
15,2020-12-25,-1492095.1500000001,-0.4361405548108219,Fail King,relative
35,2020-12-25,-1963668.98,-0.434527982710908,Fail King,relative
45,2019-12-27,-1891899.21,-0.42157759835848013,Fail King,relative
18,2019-12-27,-2468188.8699999996,-0.41692282020590204,Fail King,relative
25,2019-12-27,-1631222.7800000003,-0.4149722132513238,Fail King,relative
